           Decimal                 Binary                              Octal       Hexadecimal

       96.78.67.56     01100000.01001110.01000011.00111000    140.116.103.70       60.4E.43.38
           1.2.2.3     00000001.00000010.00000010.00000011           1.2.2.3           1.2.2.3
           5.6.5.6     00000101.00000110.00000101.00000110           5.6.5.6           5.6.5.6
         67.86.4.0     01000011.01010110.00000100.00000000       103.126.4.0         43.56.4.0
           4.5.6.7     00000100.00000101.00000110.00000111           4.5.6.7           4.5.6.7
       123.96.45.6     01111011.01100000.00101101.00000110      173.140.55.6        7B.60.2D.6
        34.0.198.7     00100010.00000000.11000110.00000111        42.0.306.7         22.0.C6.7
       45.76.87.98     00101101.01001100.01010111.01100010    55.114.127.142       2D.4C.57.62
           1.0.0.0     00000001.00000000.00000000.00000000           1.0.0.0           1.0.0.0
          54.6.4.4     00110110.00000110.00000100.00000100          66.6.4.4          36.6.4.4
